row_number,edd_outcome,confidence_score,confidence_reason
1,1,0.95,"SAR filed, account closed and unverifiable source of wealth with suspicious transactions."
2,0,0.95,"No adverse findings, source of wealth verified."
3,1,0.95,SAR filed and explicit narcotics trafficking connections confirmed.
4,0,1.0,Explicit outcome states no suspicious activity identified.
5,1,0.98,"SAR filed, account closed and suspicious activity indicators confirmed."
6,0,1.0,"No suspicious patterns, no adverse media or watchlist hits — explicit clean outcome."
7,0,1.0,"Explicit outcome: case closed, no suspicious activity found."
8,0,0.9,"Explicit outcome: case closed, no suspicious activity found."
9,0,1.0,No suspicious activity and no action warranted — explicit clean-case indicators.
10,1,0.95,SAR filed and explicit ties to narcotics trafficking organization
11,0,1.0,No suspicious activity identified and case closed with no action required.
12,1,0.98,SAR filed and account closed — explicit outcome.
13,0,1.0,Explicit outcome: no adverse action and clean history.
14,0,1.0,No suspicious activity identified and no adverse action required.
15,1,0.99,SAR filed and account closed — explicit outcome.
16,0,0.9,No suspicious activity identified and case closed with no action.
17,0,1.0,No suspicious activity identified and review was deemed clean.
18,1,0.95,SAR filed and account closed — explicit outcome.
19,0,1.0,"No suspicious activity, all KYC up-to-date, and no adverse signals."
20,1,0.95,"SAR filed, account closed and unverifiable source of wealth."
21,1,0.95,SAR filed and law enforcement involvement.
22,0,1.0,No suspicious activity found and case explicitly closed.
23,1,0.99,SAR filed and multiple adverse media links to financial fraud investigation.
24,0,1.0,Explicit outcome: case closed with no adverse findings.
25,1,0.99,"SAR filed, account closed, and law enforcement involvement confirmed."
26,0,0.99,No suspicious activity identified and source of wealth fully documented.
27,1,0.95,SAR filed and explicit mention of financial fraud investigation.
28,0,1.0,Alert resolved and case closed with no adverse findings.
29,0,1.0,"No suspicious activity identified, and no SAR, referral, or legal hold."
30,0,1.0,Case explicitly states 'no adverse findings' and is marked as 'case closed'.
31,1,0.95,SAR filed and relationship exited — explicit outcome.
32,1,0.95,SAR filed and clear connection to narcotics trafficking organization.
33,0,1.0,"Explicit outcome, no suspicious activity identified."
34,1,0.95,SAR filed and account closed — explicit outcome.
35,1,0.98,Confirmed trade-based money laundering and SAR filed.
36,1,0.95,SAR filed and relationship terminated — strong adverse indicators.
37,0,1.0,"Explicit outcome: no adverse action, clean history, and source of funds verified."
38,0,1.0,"No suspicious activity identified, no SAR or referral."
39,0,1.0,Explicit outcome: case closed / no action.
40,1,0.98,SAR filed and account closed — explicit outcome.
41,1,0.95,SAR filed and relationship terminated — explicit outcome.
42,1,0.98,SAR filed and account restricted — explicit outcome.
43,0,0.9,"No SAR, referral, or legal hold; account remains open and next review scheduled."
44,0,1.0,Explicit outcome — case closed/no action/monitoring only.
45,1,0.98,SAR filed and account closed — explicit outcome.
46,1,0.95,SAR filed and account restricted — explicit outcome.
47,1,0.95,SAR filed and account closed due to explicit adverse media findings and unexplained inflows.
48,0,1.0,Explicit outcome — case closed with no adverse findings.
49,1,0.98,"SAR filed, account closed and confirmed financial crime indicators."
50,0,1.0,"No suspicious patterns, account has been clean for years, and no adverse media or watchlist hits."
51,1,0.95,SAR filed and source of wealth unverifiable with escalation.
52,0,1.0,No suspicious activity identified and no SAR or referral mentioned.
53,0,1.0,Explicit outcome: case closed and no adverse action.
54,0,1.0,"No suspicious activity, case closed and no action taken."
55,1,0.95,SAR filed and account restricted — explicit outcome.
56,1,0.95,SAR filed and relationship terminated due to high-risk transactions.
57,0,1.0,Explicit outcome — no suspicious activity identified and enhanced monitoring only.
58,0,0.95,"No SAR, referral, or legal hold and account remains open with no adverse findings."
59,0,1.0,"Explicit outcome: no adverse action, clean history, and all explanations provided."
60,0,1.0,"Clean review with no adverse findings, all accounts and activities consistent with expected profiles."
61,0,1.0,"Explicit outcome: no suspicious activity identified, clean history, and source of funds explained."
62,0,1.0,Explicit outcome: no adverse actions and fully documented source of wealth.
63,0,0.9,Outcome explicitly states 'No suspicious activity identified' with enhanced monitoring only.
64,0,1.0,No suspicious activity and all documentation renewed — explicit clean-case indicators.
65,1,0.95,SAR filed and explicit mention of financial fraud investigation.
66,0,1.0,Case was explicitly closed with no adverse findings.
67,1,0.95,"SAR filed, relationship exited, and confirmed financial crime indicators present."
68,1,0.95,"SAR filed, clear connection to narcotics trafficking organization and suspicious transaction patterns."
69,1,0.98,SAR filed and explicit mention of narcotics trafficking organization.
70,1,0.95,SAR filed and account closed — explicit outcome.
71,0,0.95,Explicit outcome: case closed with no adverse findings.
72,0,0.95,"No adverse actions or signals, only monitoring recommended for future review."
73,1,0.95,SAR filed and account closed — explicit outcome.
74,1,0.99,SAR filed and account closed — explicit outcome.
75,0,1.0,"No suspicious activity identified, case closed with no action."
76,0,1.0,Explicit clean outcome with no suspicious activity found and case closed.
77,1,0.98,"SAR filed, account closed, and multiple suspicious indicators."
78,1,0.95,"SAR filed, account restriction, and confirmed structuring behavior — explicit indicators of money laundering."
79,1,0.95,"SAR filed, account cancelled and law enforcement hold — explicit outcome."
80,0,0.95,No suspicious activity identified and case closed without additional action.
81,0,1.0,Explicit outcome: case closed / no action.
82,0,0.9,No suspicious activity identified and no adverse actions taken.
83,0,0.95,No suspicious activity identified and case closed without additional action.
84,1,0.95,SAR filed and strong correlation to narcotics trafficking indicators.
85,1,0.95,SAR filed and account closed — explicit outcome.
86,1,0.95,SAR filed and account cancelled — explicit outcome.
87,0,0.95,No adverse signals and clear documentation of source of wealth.
88,0,1.0,"No suspicious activity identified, case closed with no additional action."
89,0,1.0,"Explicit outcome: no suspicious patterns, account has been open for 12 years with consistent activity."
90,1,0.99,SAR filed and account closed — explicit outcome.
91,1,0.95,SAR filed and account closed — explicit outcome.
92,0,1.0,Explicit outcome: case closed with no adverse findings.
93,1,0.95,SAR filed and explicit connections to narcotics trafficking organization.
94,0,1.0,Case was explicitly closed with no adverse findings.
95,1,0.98,SAR filed and account closed — explicit outcome.
96,1,0.99,SAR filed and explicit financial crime indicators
97,0,0.99,"Explicit outcome: no suspicious activity, no adverse media, and all KKY documentation renewed."
98,1,0.95,SAR filed and account closed — explicit outcome.
99,0,1.0,No suspicious activity identified and no adverse actions taken.
100,1,0.99,"SAR filed, account closed and confirmed financial crime indicators."
101,0,1.0,"No suspicious patterns, clean history, and no adverse findings — explicit clean-case indicators."
102,1,0.99,SAR filed and account closed — explicit outcome.
103,1,0.95,SAR filed and account closed — explicit outcome.
104,0,1.0,No suspicious activity identified and case closed with no adverse findings.
105,0,0.9,Explicit outcome: case closed without additional action.
106,1,0.99,SAR filed and account closed — explicit outcome.
107,0,1.0,"No suspicious activity identified, case closed without additional action."
108,0,1.0,Case explicitly states 'no adverse findings' and was closed without a SAR.
109,0,0.9,No adverse actions and no suspicious activity identified — explicit clean review.
110,1,0.99,SAR filed and explicit adverse media findings.
111,1,0.95,SAR filed and relationship terminated — explicit outcome.
112,0,0.9,Explicit outcome: no suspicious activity identified and source of wealth fully documented.
113,1,0.95,SAR filed and significant trade-based money laundering indicators.
114,1,0.95,SAR filed and relationship terminated — explicit outcome.
115,1,0.95,SAR filed and confirmed financial crime indicators.
116,0,1.0,Explicit outcome with 'No suspicious activity identified' and no adverse findings.
117,1,0.95,"SAR filed, account closed, and confirmed darknet marketplace connection."
118,1,0.99,SAR filed and account closed — explicit outcome.
119,1,0.99,SAR filed and account closed — explicit outcome.
120,1,0.95,SAR filed and account closed — explicit outcome.
121,0,1.0,Explicit outcome: case closed / no action
122,0,1.0,Explicit outcome: EDD outcome already classified as negative with no action required.
123,0,1.0,"No suspicious activity identified, case closed without further action."
124,1,0.95,SAR filed and account closed — explicit outcome.
125,0,1.0,No adverse action and case closed with clean review.
126,0,1.0,"Explicit outcome: no SAR, referral, or legal hold; account remains open and next review scheduled."
127,1,0.99,SAR filed and account closed — explicit outcome.
128,0,1.0,No suspicious activity identified and no adverse media or sanctions matches.
129,0,1.0,"Explicit outcome — no SAR, no account restrictions, and no adverse actions taken."
130,0,0.9,Explicit outcome: no suspicious activity identified and source of wealth fully documented.
131,1,0.95,SAR filed and account closed — explicit outcome.
132,1,0.99,SAR filed and explicit financial fraud indicators present.
133,1,0.95,SAR filed and account restricted — explicit adverse action.
134,0,0.9,Case explicitly states 'case closed' with no adverse action.
135,1,0.95,SAR filed and relationship exited due to customer's connection to a narcotics trafficking organization.
136,0,0.99,Clean review with no adverse findings or actions.
137,1,0.95,SAR filed and account closed — explicit outcome.
138,0,1.0,"Explicit outcome: no SAR, referral, or legal hold and case closed/no action/monitoring only."
139,1,0.95,SAR filed and account relationship terminated — explicit outcome.
140,0,0.95,Clear indication of a clean review and no adverse action.
141,1,0.95,SAR filed and account closed — explicit outcome.
142,1,0.98,SAR filed and account closed — explicit outcome.
143,0,1.0,"No suspicious activity identified, no adverse action required."
144,0,1.0,"No suspicious activity found and case closed, explicit clean outcome."
145,0,1.0,"No SAR, referral, or legal hold; account remains open and next review scheduled."
146,1,0.99,SAR filed and account closed — explicit outcome.
147,0,0.95,Clean review with no adverse indicators or findings.
148,0,0.9,"Explicit outcome: case closed, no suspicious activity found."
149,0,1.0,Alert resolved and case closed with no adverse findings.
150,0,1.0,No suspicious activity identified and case closed without further action.
151,1,0.95,SAR filed and account closed — explicit outcome.
152,0,0.9,Explicit outcome: no suspicious activity identified and no adverse action required.
153,0,1.0,"No suspicious activity and no adverse action indicated, clear clean case."
154,0,1.0,"Explicit outcome: 'EDD closed, no action required'."
155,1,0.99,SAR filed and account closed — explicit outcome.
156,1,0.95,SAR filed and explicit confirmation of financial fraud investigation.
157,1,0.95,SAR filed and account closed — explicit outcome.
158,0,1.0,Explicit clean-case indicators and case closure.
159,1,0.99,SAR filed and confirmed connection to narcotics trafficking organization.
160,1,0.98,"SAR filed, account closed and source of wealth unverifiable with no further action taken."
161,0,0.9,Case was closed and deemed clean after review.
162,0,1.0,"No suspicious activity identified, case closed without further action."
163,1,0.99,SAR filed and relationship terminated — explicit outcome.
164,0,0.9,Explicit outcome — no suspicious activity identified and all source of wealth explained.
165,0,0.9,Explicit outcome: no suspicious activity identified and no action required.
166,0,0.95,"Explicit outcome, case closed with no action required."
167,0,0.9,"Explicit outcome: case closed, no suspicious activity identified."
168,0,0.9,Explicit outcome of no suspicious activity identified.
169,0,0.9,Explicit clean outcome with no adverse findings and next review scheduled.
170,0,1.0,No suspicious activity identified and case closed without further action.
171,1,0.95,"SAR filed, account holder's claimed business not licensed, and suspicious bulk wire transfers."
172,0,1.0,"No adverse signals, all documentation provided and next review scheduled."
173,1,0.95,SAR filed and explicit connections to narcotics trafficking organization.
174,0,0.9,"No SAR, referral, or legal hold; account remains open with consistent activity and no adverse findings."
175,1,0.99,SAR filed and account closed — explicit outcome.
176,1,0.99,SAR filed and account closed — explicit outcome.
177,0,1.0,"Explicit outcome: no adverse action, clean history."
178,0,1.0,Clean review with no suspicious patterns and no adverse actions.
179,0,1.0,No suspicious activity identified and case closed without additional action.
180,0,1.0,"Explicit outcome: no suspicious patterns, account remains open, and no action required."
181,0,0.9,"Explicit outcome: no adverse action, monitoring recommended."
182,1,0.99,SAR filed and clear indication of OFAC secondary sanctions.
183,1,0.99,SAR filed and account closed — explicit outcome.
184,0,1.0,No suspicious activity identified and case closed without additional action.
185,0,1.0,"Explicit outcome — no suspicious activity, no SAR, and no adverse action."
186,1,0.95,"SAR filed, account closed and relationship terminated — strong signal."
187,0,1.0,Explicit outcome: clean review with no adverse findings.
188,0,1.0,Outcome explicitly states 'No suspicious activity identified' and monitoring only
189,0,1.0,No suspicious activity identified and outcome states: case closed / no action.
190,1,0.95,SAR filed and explicit mention of financial fraud investigation.
191,0,0.95,"Clean EDD with no adverse findings and next review scheduled, explicit negative outcome."
192,0,0.9,"No suspicious activity identified, only enhanced monitoring recommended."
193,0,0.9,"No adverse signals, only a clean case with next review scheduled."
194,1,0.95,SAR filed and OFAC secondary sanctions concern — explicit outcome.
195,0,1.0,Explicit outcome: case closed with no suspicious activity.
196,1,0.95,SAR filed and account closed — explicit outcome.
197,1,0.95,"SAR filed, account closed and law enforcement hold — strong signals of adverse activity."
198,1,0.95,"SAR filed and confirmed financial crime indicators (unverifiable source of wealth, shell companies)"
199,0,0.95,"No suspicious patterns, daily sales reconciliation, and no adverse media or watchlist hits indicate a clean review."
200,0,1.0,No suspicious activity identified and no adverse action mentioned.
201,1,0.95,SAR filed and confirmed financial crime indicators present.
202,1,0.95,SAR filed and significant ties to narcotics trafficking organization.
203,0,1.0,"No suspicious activity identified, no SAR or referral, and no adverse action."
204,1,0.9,SAR filed and account relationship terminated — explicit outcome.
205,1,0.95,SAR filed and account closed — explicit outcome.
206,0,1.0,Explicit outcome: EDD outcome already stated as negative.
207,0,0.9,Explicit outcome: EDD outcome negative and no action required.
208,1,0.95,"SAR filed, account restricted and clear trade-based money laundering indicators."
209,1,0.95,SAR filed and account closed — explicit outcome.
210,0,0.95,"No adverse findings or actions taken, account remains open for review."
211,0,1.0,No suspicious activity identified and no adverse action required.
212,1,0.95,SAR filed and account closed — explicit outcome.
213,1,0.95,Explicit mention of SAR filed and account closed.
214,1,0.99,"SAR filed, account cancelled and law enforcement hold placed — explicit outcome."
215,1,0.95,SAR filed and multiple adverse media links to financial fraud investigation.
216,1,0.95,"SAR filed, account cancelled and law enforcement hold placed — explicit outcome."
217,1,0.95,SAR filed and source of wealth unverifiable.
218,0,1.0,No suspicious activity identified and no adverse action required.
219,1,0.98,"SAR filed, multiple indicators of money laundering, and account restrictions."
220,1,0.99,SAR filed and account closed — explicit outcome.
221,1,0.98,SAR filed and account restricted — explicit outcome.
222,0,0.9,Explicit negative outcome with no adverse actions mentioned.
223,0,1.0,No suspicious activity identified and case closed without further action.
224,1,0.99,SAR filed and explicit financial crime indicators present.
225,0,1.0,No suspicious activity identified and no adverse action required.
226,1,0.99,SAR filed and account closed — explicit outcome.
227,1,0.98,"SAR filed, explicit indication of structuring behavior, and account restriction."
228,1,0.99,"SAR filed, account restricted and trade-based money laundering indicators present."
229,1,0.98,SAR filed and significant trade-based money laundering indicators present.
230,1,0.95,SAR filed and confirmed ties to narcotics trafficking organization.
231,1,0.95,SAR filed and account closed — explicit outcome.
232,0,0.9,Explicit outcome with no adverse findings.
233,0,1.0,Clear outcome states no suspicious activity and account remains open.
234,0,0.95,Clear statement of 'no action required' and review closed with no adverse findings.
235,0,0.9,No suspicious activity identified and case closed without further action.
236,0,1.0,Explicit outcome stating 'negative' and no action required.
237,0,0.95,No suspicious activity identified and no adverse action required.
238,1,0.99,SAR filed and source of wealth unverifiable.
239,1,0.95,SAR filed and OFAC secondary sanctions involvement — explicit outcome.
240,1,0.99,SAR filed and account closed — explicit outcome.
241,1,0.95,SAR filed and clear connections to a narcotics trafficking organization.
242,1,0.95,SAR filed and account closed — explicit outcome.
243,1,0.95,SAR filed and account closed — explicit outcome.
244,0,1.0,Explicit outcome: EDD closed with no action required.
245,1,0.9,SAR filed and source of wealth unverifiable — strong adverse indicators.
246,0,1.0,Explicit outcome: case closed with no adverse findings.
247,1,0.95,"SAR filed, account closed, and adverse media review indicate explicit evidence of financial crime."
248,0,1.0,"No suspicious activity identified, no adverse action required."
249,0,1.0,No suspicious activity identified and no adverse action mentioned.
250,0,1.0,Explicit outcome: EDD outcome negative with no action required.
251,1,0.95,"SAR filed, relationship exited, and strong links to narcotics trafficking organization."
252,0,0.9,Explicit narrative states 'EDD outcome negative' with no adverse findings.
253,0,1.0,"Explicit outcome, no SAR filed, account remains open and clean history."
254,1,0.99,SAR filed and relationship exited — explicit outcome.
255,1,0.95,SAR filed and account closed — explicit outcome.
256,1,0.95,"SAR filed, account closed, and adverse media review."
257,0,1.0,"Explicit outcome: no adverse media, no suspicious activity, and full documentation of source of wealth."
258,0,1.0,"Explicit outcome: case closed, no suspicious activity found."
259,1,0.95,SAR filed and account closed — explicit outcome.
260,1,0.99,"SAR filed, law enforcement hold, and account cancellation — explicit outcome."
261,1,0.95,SAR filed and account closed — explicit outcome.
262,1,0.95,SAR filed and strong indicators of trade-based money laundering.
263,1,0.95,SAR filed and significant trade-based money laundering indicators.
264,0,0.9,Explicit outcome of 'No suspicious activity identified'.
265,1,0.95,SAR filed and account closed — explicit outcome.
266,0,0.99,"No SAR filed, no adverse action mentioned, and case is clean."
267,0,1.0,Clear indication of a clean case with no adverse findings or actions.
268,0,1.0,"No adverse findings or indicators, clean case with documented source of wealth and consistent activity."
269,0,1.0,"No suspicious activity identified, fully compliant client."
270,0,1.0,"Explicit outcome: no SAR filed, account remains open, and no adverse action."
271,0,1.0,Explicit outcome: case closed / no action / monitoring only.
272,1,0.95,SAR filed and account closed — explicit outcome.
273,1,0.99,SAR filed and explicit fraud indicators present.
274,1,0.9,SAR filed and source of wealth unverifiable — explicit outcome.
275,0,1.0,No suspicious activity identified and no adverse action required.
276,1,0.95,SAR filed and account closed — explicit outcome.
277,1,0.9,SAR filed and account closed — explicit outcome.
278,1,0.9,SAR filed and relationship exited — explicit outcome.
279,1,0.99,SAR filed and relationship terminated — strong positive indicators.
280,1,0.98,SAR filed and explicit structuring behavior confirmed.
281,0,1.0,No suspicious activity found and case is explicitly closed.
282,0,0.9,"Explicit outcome: case closed, no suspicious activity found."
283,1,0.98,SAR filed and account closed — explicit outcome.
284,1,0.99,"SAR filed, law enforcement hold, and account cancellation indicate a clear adverse outcome."
285,0,1.0,No suspicious activity identified and review was closed with no action.
286,1,0.98,"SAR filed, account restricted, and confirmed money laundering indicators."
287,0,1.0,"No adverse indicators, case explicitly closed."
288,0,0.9,No suspicious activity identified and EDD closed with no action.
289,0,1.0,No suspicious activity identified and outcome states case closed / no action.
290,0,0.95,Explicit outcome — case closed and no suspicious activity found.
291,1,0.98,SAR filed and account closed — explicit outcome.
292,0,0.95,No suspicious activity identified and account remains open with a planned future review.
293,0,0.9,Explicit outcome: no suspicious activity and account remains open.
294,1,0.95,SAR filed and confirmed links to narcotics trafficking organization.
295,0,0.95,Explicit outcome: case closed with no adverse findings.
296,0,1.0,"Explicit outcome: no suspicious activity, all clean-case indicators present."
297,0,1.0,"No suspicious patterns, no SAR, and outcome explicitly states case closed with no action."
298,1,0.99,SAR filed and explicit mention of financial fraud investigation.
299,1,0.95,SAR filed and confirmed connection to narcotics trafficking organization.
300,1,0.99,"SAR filed, account cancelled, and law enforcement hold — explicit outcome."
301,0,1.0,No suspicious activity identified and EDD was closed with no action.
302,0,1.0,"No suspicious activity identified, case closed with no further action."
303,1,0.95,SAR filed and structured behavior confirmed by multiple deposits below CTR threshold.
304,0,1.0,"Explicit outcome: no suspicious activity found, case closed."
305,1,0.95,SAR filed and source of wealth unverifiable — explicit indicators.
306,1,0.95,SAR filed and account closed — explicit outcome.
307,1,0.95,SAR filed and account closed — explicit outcome.
308,0,1.0,No suspicious activity identified and no adverse action required.
309,1,0.98,"SAR filed, account closed, and adverse media investigation"
310,1,0.95,"SAR filed, account holder's claims are suspicious, and multiple red flags identified."
311,1,0.98,"SAR filed, account closed and unusual transactions pattern identified."
312,0,1.0,"No suspicious activity identified, no SAR or referral."
313,1,0.95,SAR filed and relationship terminated — explicit outcome.
314,1,0.98,SAR filed and explicit evidence of structuring behavior.
315,0,0.95,"Explicit outcome: no SAR filed, account remains open, and case closed with no action."
316,1,0.95,SAR filed and relationship terminated — explicit outcome.
317,0,1.0,"No suspicious activity identified, case closed without additional action."
318,1,0.95,SAR filed and trade-based money laundering indicators present — explicit outcome.
319,0,0.95,Case explicitly stated as 'case closed' with no adverse findings.
320,1,0.95,SAR filed and explicit indication of OFAC secondary sanctions
321,1,0.95,SAR filed and account restrictions — explicit outcome.
322,1,0.99,"SAR filed, law enforcement hold, and account cancellation confirm adverse action."
323,0,1.0,Explicit outcome — no suspicious activity identified and no adverse action.
324,1,0.95,SAR filed and relationship terminated — explicit outcome.
325,0,1.0,Explicit outcome: case closed/no action.
326,0,0.95,Explicit outcome: case closed and no adverse action.
327,1,0.98,SAR filed and account closed — explicit outcome.
328,0,1.0,Explicit outcome — case closed/no action recommended.
329,0,1.0,Explicit outcome: case closed with no suspicious activity identified.
