row_number,edd_outcome,confidence_score,confidence_reason
662,1,0.95,"SAR filed, account restricted, and multiple financial crime indicators present."
663,0,0.9,Explicit outcome stating 'case closed' and no suspicious activity found.
664,0,1.0,"Explicit outcome: case closed, no action taken."
665,1,0.95,"SAR filed and significant adverse findings, including prior SAR history."
666,0,0.9,"Case was explicitly closed with no adverse findings, resolving the alert."
667,0,1.0,"Explicit outcome: no suspicious activity, case closed/no action"
668,1,0.99,SAR filed and clear signs of trade-based money laundering
669,1,0.99,SAR filed and confirmed narcotics trafficking link.
670,1,0.95,"SAR filed, relationship exited, and explicit mention of connection to narcotics trafficking organization."
671,1,0.95,SAR filed and significant money laundering indicators present.
672,1,0.95,SAR filed and confirmed OFAC secondary sanctions indicators.
673,0,0.95,Outcome explicitly states 'No suspicious activity identified' with enhanced monitoring only.
674,0,0.9,"Explicit outcome: case closed, no adverse action."
675,1,0.95,SAR filed and source of wealth unverifiable.
676,0,1.0,Explicit outcome: case closed and no suspicious activity found.
677,0,1.0,Explicit negative outcome and no action required.
678,1,0.95,SAR filed and account closed explicitly indicate adverse action.
679,0,1.0,No suspicious activity identified and no adverse action required.
680,0,1.0,No suspicious activity identified and outcome states case closed / no action.
681,0,1.0,"No suspicious activity, case closed with no action."
682,0,1.0,No suspicious activity identified and case closed without additional action.
683,1,0.95,"SAR filed, account closed, and adverse media investigation indicators."
684,1,0.99,SAR filed and account closed — explicit outcome.
685,0,0.75,"No SAR filed, account remains open, and only enhanced monitoring recommended."
686,0,1.0,Explicit outcome: case closed / no action.
687,0,1.0,"No suspicious patterns, clean account history, and no adverse findings."
688,0,1.0,Explicit outcome — case closed / no action.
689,0,1.0,Explicit outcome: case closed/no action/monitoring only.
690,0,1.0,"No suspicious activity identified, and case closed without additional action."
691,0,1.0,Explicit clean outcome with no adverse actions or indicators.
692,0,0.9,No suspicious activity identified and no adverse action taken.
693,1,0.95,SAR filed and account closed — explicit outcome.
694,1,0.95,SAR filed and account closed — explicit outcome.
695,0,1.0,"Case closed with no adverse findings, and SAR not filed."
696,1,0.95,SAR filed and clear adverse action taken against the relationship.
697,1,0.95,SAR filed and account closed — explicit outcome.
698,1,0.95,SAR filed and explicit mention of fraud in adverse media review.
699,1,0.99,SAR filed and account restricted due to confirmed structuring behavior.
700,1,0.95,SAR filed and account closed — explicit outcome.
701,1,0.95,SAR filed and account closed — explicit outcome.
702,1,0.95,SAR filed and explicit mention of financial fraud investigation.
703,1,0.95,SAR filed and account restricted indicate explicit adverse action.
704,0,0.9,No suspicious activity identified and case closed without further action.
705,1,0.95,"SAR filed, account closed and law enforcement hold — explicit adverse indicators."
706,1,0.95,"SAR filed, account closed, and adverse media links to financial fraud investigation."
707,0,0.98,No suspicious activity identified and case closed without additional action.
708,1,0.95,SAR filed and relationship terminated — explicit outcome.
709,1,0.95,SAR filed and account closed — explicit outcome.
710,1,0.98,SAR filed and clear evidence of financial fraud investigation.
711,0,1.0,"Explicit outcome: case closed, no suspicious activity found."
712,1,0.95,SAR filed and source of wealth unverifiable with escalation.
713,0,0.9,Explicit outcome: case closed with no adverse findings.
714,0,1.0,"Explicit outcome, no suspicious patterns found and case closed."
715,1,0.98,SAR filed and account closed — explicit outcome.
716,0,1.0,Explicit outcome: case closed with no adverse findings.
717,0,0.9,"Explicit outcome: no SAR, no adverse action, and next review scheduled."
718,1,0.95,SAR filed and account closed — explicit outcome.
719,0,1.0,Explicit outcome — case closed with no adverse findings.
720,1,0.95,SAR filed and account closed — explicit outcome.
721,0,1.0,No suspicious activity identified and account remains open.
722,1,0.9,SAR filed and source of wealth unverifiable.
723,0,1.0,"No suspicious activity, case closed with no action."
724,1,0.99,"SAR filed, account cancelled and law enforcement involvement present."
725,1,0.98,SAR filed and account closed — explicit outcome.
726,0,0.9,Explicit outcome of 'No suspicious activity identified'.
727,0,1.0,Clean review with no suspicious activity or adverse findings.
728,1,0.99,"SAR filed, account closed and confirmed financial crime indicators."
729,0,1.0,No suspicious activity identified and no adverse action required.
730,0,1.0,Explicit outcome: case closed with no adverse findings.
731,0,0.9,"Explicit outcome: no suspicious activity, source of wealth fully documented."
732,0,1.0,Explicit outcome — no suspicious activity identified and enhanced monitoring recommended.
733,1,0.95,SAR filed and explicit mention of financial fraud investigation.
734,0,1.0,No suspicious activity identified and no adverse action required.
735,1,0.99,SAR filed and account closed — explicit outcome.
736,0,1.0,No suspicious activity identified and case closed with no further action.
737,1,0.95,"SAR filed, customer's connection to narcotics trafficking organization confirmed."
738,1,0.99,SAR filed and account closed — explicit outcome.
739,0,1.0,Explicit outcome: case closed with no adverse findings.
740,0,0.9,No suspicious activity identified and case closed without further action.
741,0,1.0,"No suspicious activity identified, no SAR or referral, and account remains open."
742,1,0.95,SAR filed and account closed with clear sanctions involvement.
743,1,0.99,"Explicit SAR filed, account closed and source of wealth unverifiable."
744,0,0.9,"SAR not filed, no adverse action taken and case closed."
745,0,1.0,No suspicious activity identified and review closed with no action.
746,0,0.95,"No SAR, no account closure or restriction, and clear documentation of source of wealth."
747,0,1.0,"No suspicious activity identified, EDD closed with no action."
748,0,0.9,Explicit outcome: case closed and no suspicious activity found.
749,0,1.0,Explicit outcome: case closed / no action / monitoring only
750,0,0.9,"Explicit outcome: case closed, no adverse action"
751,0,1.0,"Explicit outcome: no adverse action or findings, case closed."
752,0,1.0,"Explicit outcome: no SAR, referral, or legal hold and account remains open."
753,1,0.95,"SAR filed, account closed, and adverse media investigation confirms fraud involvement."
754,1,0.95,SAR filed and account closed — explicit outcome.
755,1,0.99,SAR filed and explicit connections to narcotics trafficking organization.
756,0,0.9,Explicit outcome: case closed and no suspicious activity found.
757,0,1.0,Explicit outcome: case closed and no adverse action.
758,1,0.95,SAR filed and account closed due to explicit evidence of illicit activity.
759,1,0.95,"SAR filed, account closed, and adverse media findings — explicit outcome."
760,1,0.95,SAR filed and source of wealth unverifiable with escalated action
761,0,1.0,Explicit outcome — no suspicious activity identified and review concluded with no action.
762,0,1.0,Explicit outcome: no suspicious activity identified and no adverse action required.
763,0,0.9,"No suspicious activity identified, account remains open and no adverse action required."
764,1,0.98,SAR filed and explicit link to narcotics trafficking organization.
765,1,0.95,SAR filed and clear signs of suspicious activity.
766,0,1.0,"No suspicious activity, no SAR or referral, and all accounts remain open."
767,1,0.95,SAR filed and explicit financial crime indicators present.
768,0,0.95,Explicit outcome stating 'EDD outcome negative' and no adverse action.
769,1,0.99,"SAR filed, account closed and suspicious transactions with PEPs."
770,1,0.99,"SAR filed, account closed due to financial fraud investigation."
771,1,0.95,SAR filed and explicit mention of structuring behavior.
772,1,0.99,SAR filed and account cancelled — explicit outcome.
773,0,1.0,No suspicious activity found and case was explicitly closed.
774,0,1.0,"No suspicious patterns, account has been open for 12 years with no issues."
775,1,0.95,SAR filed and relationship flagged for exit.
776,0,1.0,"No suspicious activity, no SAR or referral mentioned."
777,0,0.95,"No SAR, referral, or legal hold and account remains open with consistent activity."
778,1,0.95,SAR filed and account closed — explicit outcome.
779,1,0.95,SAR filed and account closed — explicit outcome.
780,1,0.99,SAR filed and explicit structuring behavior confirmed.
781,1,0.98,SAR filed and account closed due to confirmed sanctions evasion indicators.
782,0,1.0,No suspicious activity identified and account remains open.
783,0,1.0,Explicit outcome: case closed with no adverse findings.
784,1,0.99,SAR filed and explicit evidence of structuring behavior.
785,0,1.0,"No adverse media, no PEP or sanctions matches, and source of wealth fully documented."
786,1,0.98,SAR filed and account closed — explicit outcome.
787,1,0.95,"SAR filed, account cancelled and law enforcement involvement"
788,1,0.98,SAR filed and account closed — explicit outcome.
789,0,1.0,"Explicit outcome: no suspicious activity identified, case closed/no action/monitoring only."
790,1,0.98,"SAR filed, account closed, and confirmed financial crime indicators."
791,0,1.0,Explicit clean outcome with no adverse findings or actions recommended.
792,1,0.95,SAR filed and account closed — explicit outcome.
793,1,0.99,SAR filed and account closed — explicit outcome.
794,0,1.0,Explicit outcome — no suspicious activity identified and case closed with enhanced monitoring.
795,0,1.0,No adverse findings and no suspicious activity identified.
796,1,0.95,SAR filed and account closed — explicit outcome.
797,1,0.99,SAR filed and explicit mention of structuring behavior.
798,1,0.95,SAR filed and account closed — explicit outcome.
799,0,1.0,"No suspicious activity, no SAR, and all KYC up to date — clean review."
800,1,0.95,"SAR filed and source of wealth unverifiable, explicit indicators."
801,0,1.0,Explicit outcome: case closed with no adverse findings.
802,0,0.9,Explicit outcome: case closed with no adverse findings.
803,0,1.0,No suspicious activity identified and case closed without additional action.
804,1,0.98,SAR filed and source of wealth unverifiable with escalation.
805,1,0.95,SAR filed and source of wealth unverifiable with escalation.
806,1,0.99,SAR filed and account closed — explicit outcome.
807,0,0.9,No suspicious activity and no adverse action — clear clean case.
808,0,1.0,No suspicious activity identified and case closed without further action.
809,0,1.0,"No suspicious activity identified, all transactions documented."
810,0,1.0,"Explicit outcome: no adverse findings, source of wealth documented."
811,0,1.0,"No adverse signals, thorough documentation, and consistent account behavior."
812,0,1.0,Explicit outcome: EDD outcome negative with no action required.
813,1,0.95,"SAR filed, account closed and law enforcement involvement — explicit outcome."
814,0,1.0,Explicit outcome — 'EDD outcome negative' and 'No action required'.
815,1,0.98,Confirmed financial crime indicators and SAR filed — explicit outcome.
816,1,0.95,Explicit confirmation of trade-based money laundering and SAR filing.
817,1,0.95,SAR filed and explicit mention of OFAC secondary sanctions.
818,0,1.0,Explicit clean outcome — case closed with no suspicious activity.
819,0,1.0,"Explicit outcome: case closed, no action required."
820,1,0.99,SAR filed and source of wealth unverifiable.
821,1,0.95,SAR filed and clear connections to narcotics trafficking organization identified.
822,0,1.0,"No suspicious activity identified, SAR not filed, and case closed/no action."
823,1,0.98,SAR filed and account closed — explicit outcome.
824,1,0.95,SAR filed and strong correlation to narcotics trafficking organization.
825,0,0.9,"Explicit outcome, no adverse signals."
826,1,0.95,SAR filed and clear evidence of fraud involvement
827,0,0.9,"Explicit outcome: case closed, no adverse action."
828,0,0.9,"Explicit outcome — no suspicious activity, no adverse media, and source of wealth fully documented."
829,1,0.95,SAR filed and account closed — explicit outcome.
830,1,0.98,SAR filed and account terminated — explicit outcome.
831,0,1.0,"No suspicious activity identified, case closed without additional action."
832,0,1.0,"No suspicious activity identified, and no adverse action required."
833,0,1.0,"Explicit outcome: no suspicious activity identified, account remains open and review closed with no action."
834,1,0.99,SAR filed and account restricted — explicit adverse action.
835,1,0.95,SAR filed and explicit mention of financial fraud investigation.
836,1,0.95,SAR filed and significant trade-based money laundering indicators identified.
837,1,0.95,SAR filed and account closed — explicit outcome.
838,1,0.95,SAR filed and clear indication of sanctions evasion.
839,1,0.95,SAR filed and account closed — explicit outcome.
840,0,0.9,"Explicit outcome, case closed with no action required."
841,1,0.95,"SAR filed, account closed and source of wealth unverifiable."
842,1,0.95,SAR filed and account closed — explicit outcome.
843,0,0.9,"No suspicious activity identified, and no adverse action taken."
844,1,0.95,"SAR filed, law enforcement hold, and account cancellation indicate a clear adverse outcome."
845,1,0.95,SAR filed and account restrictions indicate clear adverse action.
846,0,1.0,"No suspicious activity identified, case closed with no further action."
847,1,0.99,SAR filed and account closed — explicit outcome.
848,0,1.0,"No suspicious activity identified, stable employment and well-documented income."
849,1,0.99,SAR filed and account closed — explicit outcome.
850,0,1.0,"Explicit outcome: no suspicious patterns, EDD closed with no action required."
851,1,0.95,"SAR filed, law enforcement hold, and account cancellation indicate explicit adverse outcome."
852,0,0.9,"SAR not filed, no adverse action taken and case closed."
853,1,0.95,SAR filed and relationship terminated — strong positive indicators.
854,0,1.0,Explicit outcome: case closed with no adverse findings.
855,0,1.0,No suspicious activity identified and account remains open.
856,0,1.0,"No SAR filed, no account restrictions, and clear documentation support a clean review."
857,1,0.98,SAR filed and account closed — explicit outcome.
858,0,0.9,Explicit outcome: case closed with no adverse findings.
859,0,1.0,"Explicit outcome: clean review, no adverse action required."
860,0,1.0,"Clean case with no adverse signals, explicit outcome of 'negative' and 'no action required'."
861,0,1.0,"No suspicious activity identified, SAR not filed and account remains open"
862,1,0.98,SAR filed and account closed — explicit outcome.
863,1,0.98,SAR filed and multiple strong indicators of narcotics trafficking connection.
864,1,0.95,SAR filed and account closed — explicit outcome.
865,1,0.99,SAR filed and account closed — explicit outcome.
866,0,1.0,"No suspicious activity identified, no adverse action taken."
867,1,0.95,SAR filed and account restricted — explicit adverse action.
868,1,0.98,SAR filed and account restricted — explicit outcome.
869,1,0.98,SAR filed and account closed — explicit outcome.
870,1,0.95,SAR filed and structuring behavior confirmed — explicit outcome.
871,1,0.9,SAR filed and source of wealth unverifiable
872,1,0.99,SAR filed and account closed confirm adverse action.
873,0,0.95,"Explicit outcome, case closed with no adverse action."
874,1,0.99,SAR filed and account closed — explicit outcome.
875,1,0.95,SAR filed and account closed — explicit outcome.
876,0,1.0,"No suspicious activity identified, case closed without additional action."
877,0,1.0,No suspicious activity found and case closed — explicit outcome.
878,1,0.95,SAR filed and account closed — explicit outcome.
879,0,1.0,Explicit outcome — case closed with no adverse action.
880,1,0.95,SAR filed and structuring behavior confirmed — explicit outcome.
881,1,0.95,SAR filed and account closed — explicit outcome.
882,0,1.0,Explicit outcome — case closed with no action.
883,1,0.95,"SAR filed, account closed, and law enforcement hold — explicit outcome."
884,0,0.9,Explicit outcome — no suspicious activity identified.
885,0,1.0,No adverse action taken and account considered clean-case.
886,0,0.95,"No suspicious activity, no SAR or referral, case closed with no further action."
887,1,0.95,"SAR filed, law enforcement hold, and account cancellation indicate explicit adverse action."
888,1,0.95,SAR filed and account restricted — explicit outcome.
889,1,0.95,SAR filed and account closed due to OFAC secondary sanctions and a sanctioned entity.
890,0,1.0,Explicit outcome — 'No suspicious patterns' and no action required.
891,0,1.0,No suspicious activity and no adverse findings — clean case.
892,1,0.95,SAR filed and explicit mention of financial fraud investigation.
893,0,1.0,Explicit outcome — case closed with no adverse findings.
894,0,1.0,Explicit outcome: No suspicious activity identified and only enhanced monitoring recommended.
895,1,0.98,SAR filed and account closed — explicit outcome.
896,0,1.0,Explicit outcome: no suspicious activity identified and case closed.
897,1,0.95,SAR filed and account closed — explicit outcome.
898,0,0.95,No suspicious activity identified and case closed without additional action.
899,1,0.99,SAR filed and confirmed structuring behavior — explicit outcome.
900,1,0.99,"SAR filed, account cancelled and law enforcement hold — explicit outcome."
901,0,1.0,No suspicious activity identified and case closed without further action.
902,0,1.0,Explicit outcome: case closed / no action.
903,0,0.9,Explicit outcome: clean review with no suspicious activity identified and next review scheduled.
904,0,1.0,Clear outcome: no suspicious activity identified and account remains open for future review.
905,1,0.98,SAR filed and consistent structuring behavior — explicit outcome.
906,1,0.99,SAR filed and account closed — explicit outcome.
907,1,0.95,SAR filed and account closed — explicit outcome.
908,1,0.99,SAR filed and account closed — explicit outcome.
909,0,1.0,No suspicious activity identified and no adverse actions required.
910,1,0.95,SAR filed and account closed — explicit outcome.
911,0,0.99,No suspicious activity identified and no adverse action required.
912,1,0.99,SAR filed and account closed — explicit outcome.
913,0,1.0,"No adverse findings, SAR not filed, and case closed."
914,1,0.95,SAR filed and clear indication of financial fraud linked to the customer.
915,1,0.99,SAR filed and account closed — explicit outcome.
916,1,0.95,"SAR filed, relationship exited, and narcotics trafficking organization link found."
917,1,0.98,SAR filed and source of wealth unverifiable — strong signals.
918,0,0.95,Clear indication of no adverse findings and next review scheduled.
919,0,1.0,Explicit outcome: case closed with no adverse findings.
920,0,1.0,"Clean case with no adverse findings, no further action required."
921,0,0.95,Explicit outcome: case closed / no action.
922,1,0.95,SAR filed and multiple connections to narcotics trafficking organization.
923,0,1.0,No suspicious activity identified and case closed without additional action.
924,1,0.95,SAR filed and clear ties to narcotics trafficking organization.
925,0,1.0,Explicit outcome: case closed with no adverse findings.
926,0,1.0,Explicit outcome — no suspicious activity identified and enhanced monitoring recommended.
927,0,1.0,Explicit outcome — case closed with no adverse findings.
928,0,1.0,"No suspicious activity, clean review with all necessary documents up to date."
929,1,0.95,SAR filed and account closed — explicit outcome.
930,0,1.0,"Explicit outcome: case closed, no action required."
931,0,1.0,Explicit outcome states 'negative' and 'no action required'.
932,1,0.99,SAR filed and account closed — explicit outcome.
933,1,0.95,SAR filed and account closed — explicit outcome.
934,1,0.95,SAR filed and consistent structuring behavior confirmed.
935,1,0.95,SAR filed and account closed — explicit outcome.
936,0,1.0,No suspicious activity and no adverse action.
937,1,0.99,SAR filed and account closed — explicit outcome.
938,0,1.0,Explicit mention of 'no suspicious activity identified' and 'no further action required'.
939,1,0.95,SAR filed and beneficial ownership unverified.
940,0,1.0,No suspicious activity and no adverse action recommended.
941,1,0.98,"SAR filed, account closed, and adverse media review."
942,1,0.99,SAR filed and explicit trade-based money laundering indicators.
943,1,0.95,SAR filed and account closed — explicit outcome.
944,1,0.98,SAR filed and account closed — explicit outcome.
945,0,1.0,"No adverse findings or actions, clean review outcome."
946,0,0.95,Explicit outcome: case closed and no suspicious activity found.
947,0,1.0,"Explicit outcome: no suspicious patterns, no adverse action."
948,0,0.9,Explicit outcome: no suspicious activity identified and enhanced monitoring recommended.
949,0,1.0,Explicit outcome: case closed and no suspicious activity found.
950,0,0.9,Explicit outcome — no suspicious activity identified and enhanced monitoring recommended.
951,0,0.95,Outcome explicitly states 'No suspicious activity identified' with enhanced monitoring recommended.
952,0,0.95,"No suspicious activity identified, and a clear source of wealth documented."
953,0,1.0,No suspicious activity identified and outcome states case closed/no action.
954,0,0.95,Explicit clean case with no adverse findings.
955,0,1.0,"Explicit outcome: case closed, no suspicious activity found."
956,0,1.0,"Explicit outcome: No adverse actions, no SARs."
957,0,1.0,Explicit outcome: No suspicious activity identified and no adverse action taken.
958,1,0.95,"SAR filed, account closed and unverifiable source of wealth."
959,0,0.99,No suspicious activity identified and review was closed with no action.
960,0,1.0,No suspicious activity identified and case closed without additional action.
961,0,1.0,"No adverse media, no PEP or sanctions matches, and full documentation of source of wealth."
962,0,0.9,Explicit outcome — 'No suspicious activity identified' and enhanced monitoring only.
963,0,1.0,"No suspicious activity identified, source of wealth documented and confirmed, clean review."
964,0,0.9,"Explicit outcome: case closed, no action taken."
965,0,0.9,Explicit outcome: clean case with no adverse findings.
966,0,1.0,Explicit outcome: case closed with no action required.
967,0,1.0,"Alert resolved, case closed with no adverse findings."
968,0,0.99,No suspicious activity identified and case closed without additional action.
969,1,0.95,"SAR filed, account cancelled and law enforcement hold — explicit outcome."
970,0,1.0,"No suspicious activity identified, account remains open with no further action"
971,0,1.0,Explicit outcome: case closed with no adverse action.
972,0,0.9,"No suspicious activity identified, with clear documentation and a legitimate business purpose."
973,1,0.98,Confirmed trade-based money laundering indicators and SAR filing.
974,0,1.0,Explicit outcome: case closed with no action required.
975,0,0.9,"Explicit outcome: case closed, no action required."
976,1,0.95,SAR filed and account closed — explicit outcome.
977,0,1.0,Explicit outcome — case closed/no action/monitoring only.
978,0,1.0,"No suspicious activity identified, and the case was closed with no further action."
979,1,0.95,SAR filed and relationship terminated — explicit outcome.
980,0,0.95,"No SAR, referral, or legal hold; account remains open and scheduled for another review."
981,0,1.0,No suspicious activity identified and case closed without additional action.
982,0,0.9,Explicit outcome: no suspicious activity identified and enhanced monitoring only
983,0,1.0,No suspicious activity identified and case closed with no further action.
984,0,1.0,No suspicious activity identified and no adverse action required.
985,0,0.9,"Explicit outcome: case closed, no adverse action."
986,0,0.95,"Explicit outcome: case closed, no suspicious activity found."
987,0,0.9,Explicit outcome: case closed with no suspicious activity found.
988,1,0.98,SAR filed and account restricted — strong indicators of money laundering.
989,0,1.0,"No suspicious activity, source of wealth fully documented, and no adverse media."
990,0,1.0,Explicit outcome: no suspicious activity identified and no adverse action required.
991,1,0.95,SAR filed and source of wealth unverifiable.
992,0,1.0,Explicit negative outcome and no action required.
993,1,0.95,SAR filed and relationship terminated — explicit outcome.
994,0,1.0,Explicit outcome: case closed/no action/monitoring only.
995,1,0.95,SAR filed and relationship terminated — explicit outcome.
996,1,0.95,SAR filed and account restricted — explicit outcome.
997,0,0.9,Explicit outcome: case closed with no action
998,0,0.9,No suspicious activity identified and no adverse actions required.
999,0,1.0,"No suspicious activity, SAR not filed, and no adverse actions taken."
1000,1,0.99,"SAR filed, law enforcement hold, and account cancellation confirm a clear adverse outcome."
